marca,item_fuente,item_canonico,sku_master,familia_producto,subfamilia,tamano,unidad_base,precio_regular,categoria_fuente,url_fuente,precio_base_fuente,sku_comparable
Popeyes,Alitas x4,Alitas,POPEYES_ALITAS,Alitas,,,unidad,2.73,"Tenders, Alitas y Nuggets",https://www.popeyes.com.pe/menu/tenders-alita-y-nuggets,10.9,CMP_ALITAS
Popeyes,Tenders x3,Tender,POPEYES_TENDER,Tender,,,unidad,4.63,"Tenders, Alitas y Nuggets",https://www.popeyes.com.pe/menu/tenders-alita-y-nuggets,13.9,CMP_TENDER
Popeyes,Nuggets x4,Nuggets,POPEYES_NUGGETS,Nuggets,,,unidad,2.73,"Tenders, Alitas y Nuggets",https://www.popeyes.com.pe/menu/tenders-alita-y-nuggets,10.9,CMP_NUGGETS
Popeyes,Personal Chicharron Pop XL Combo,Chicharrón XL,POPEYES_CHICHARRON_XL,Chicharrón,XL,,unidad,21.9,"Tenders, Alitas y Nuggets",https://www.popeyes.com.pe/menu/tenders-alita-y-nuggets,21.9,CMP_CHICHARRON_XL
Popeyes,Personal 2 Piezas Combo,Personal 2 Piezas Combo,POPEYES_PERSONAL_2_PIEZAS_COMBO,Postre,Pollo Frito,,unidad,20.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,20.9,CMP_PERSONAL_2_PIEZAS_COMBO
Popeyes,Personal 3 Piezas Combo,Personal 3 Piezas Combo,POPEYES_PERSONAL_3_PIEZAS_COMBO,Postre,Pollo Frito,,unidad,26.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,26.9,CMP_PERSONAL_3_PIEZAS_COMBO
Popeyes,Pieza de Pollo x2,Pieza de Pollo,POPEYES_PIEZA_POLLO,Pollo,,,unidad,7.45,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,14.9,CMP_PIEZA_POLLO
Popeyes,Dúo 4 Piezas Combo,Dúo 4 Piezas Combo,POPEYES_DUO_4_PIEZAS_COMBO,Postre,Pollo Frito,,unidad,38.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,38.9,CMP_DUO_4_PIEZAS_COMBO
Popeyes,Promo Festi 10 Piezas Salsatón,Promo Festi 10 Piezas Salsatón,POPEYES_PROMO_FESTI_10_PIEZAS_SALSATON,Salsa,Pollo Frito,,porcion,59.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,59.9,CMP_PROMO_FESTI_10_PIEZAS_SALSATON
Popeyes,Promo Festi 6 Piezas,Promo Festi 6 Piezas,POPEYES_PROMO_FESTI_6_PIEZAS,Postre,Pollo Frito,,unidad,39.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,39.9,CMP_PROMO_FESTI_6_PIEZAS
Popeyes,Festi 12 Piezas Combo,Festi 12 Piezas Combo,POPEYES_FESTI_12_PIEZAS_COMBO,Postre,Pollo Frito,,unidad,78.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,78.9,CMP_FESTI_12_PIEZAS_COMBO
Popeyes,Festi 8 Piezas Combo,Festi 8 Piezas Combo,POPEYES_FESTI_8_PIEZAS_COMBO,Postre,Pollo Frito,,unidad,58.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,58.9,CMP_FESTI_8_PIEZAS_COMBO
Popeyes,Festi 10 Piezas Combo,Festi 10 Piezas Combo,POPEYES_FESTI_10_PIEZAS_COMBO,Postre,Pollo Frito,,unidad,68.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,68.9,CMP_FESTI_10_PIEZAS_COMBO
Popeyes,Festi 6 Piezas Combo,Festi 6 Piezas Combo,POPEYES_FESTI_6_PIEZAS_COMBO,Postre,Pollo Frito,,unidad,48.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,48.9,CMP_FESTI_6_PIEZAS_COMBO
Popeyes,Personal Sandwich Salsatón,Personal Sandwich Salsatón,POPEYES_SANDWICH,Sandwich,,,unidad,20.9,Tostys y Sandwichs,https://www.popeyes.com.pe/menu/sandwiches-y-tosty-rolls,20.9,CMP_SANDWICH
Popeyes,Personal Tosty Salsatón,Personal Tosty Salsatón,POPEYES_TOSTY,Tosty,,,unidad,19.9,Tostys y Sandwichs,https://www.popeyes.com.pe/menu/sandwiches-y-tosty-rolls,19.9,CMP_TOSTY
Popeyes,Dúo Chicken Roll,Dúo Chicken Roll,POPEYES_CHICKEN_ROLL,Chicken Roll,,,unidad,23.9,Tostys y Sandwichs,https://www.popeyes.com.pe/menu/sandwiches-y-tosty-rolls,23.9,CMP_CHICKEN_ROLL
Popeyes,Papas Cajún Regulares,Papas Cajún Regular,POPEYES_PAPAS_CAJUN_REGULAR,Papas,Cayún,Regular,porcion,6.9,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,6.9,CMP_PAPAS_CAJUN_REGULAR
