sku_master,sku_comparable,fecha_inicio,fecha_fin,precio_regular,fuente_precio,url_fuente,precio_base_fuente
KFC_TWISTER_XL_TRADICIONAL,CMP_TWISTER_XL_TRADICIONAL,2026-04-11,,21.9,web_kfc,https://www.kfc.com.pe/carta/twister-xl,21.9
KFC_TWISTER_XL_AMERICANO,CMP_TWISTER_XL_AMERICANO,2026-04-11,,22.9,web_kfc,https://www.kfc.com.pe/carta/twister-xl,22.9
KFC_TWISTER_XL_PERUANO,CMP_TWISTER_XL_PERUANO,2026-04-11,,21.9,web_kfc,https://www.kfc.com.pe/carta/twister-xl,21.9
KFC_SALSA_AJI_CASA_FAMILIAR,CMP_SALSA_AJI_CASA_FAMILIAR,2026-04-11,,3.9,web_kfc,https://www.kfc.com.pe/carta/salsas,3.9
KFC_SALSA_TARTARA_PERUANA_FAMILIAR,CMP_SALSA_TARTARA_PERUANA_FAMILIAR,2026-04-11,,3.9,web_kfc,https://www.kfc.com.pe/carta/salsas,3.9
KFC_SALSA_BBQ_FAMILIAR,CMP_SALSA_BBQ_FAMILIAR,2026-04-11,,3.9,web_kfc,https://www.kfc.com.pe/carta/salsas,3.9
KFC_SALSA_SALSA_SECRETA_FAMILIAR,CMP_SALSA_SALSA_SECRETA_FAMILIAR,2026-04-11,,3.9,web_kfc,https://www.kfc.com.pe/carta/salsas,3.9
KFC_SALSA_HONEY_MUSTARD_FAMILIAR,CMP_SALSA_HONEY_MUSTARD_FAMILIAR,2026-04-11,,3.9,web_kfc,https://www.kfc.com.pe/carta/salsas,3.9
KFC_KRUNCHY_AMERICANO_SOLO,CMP_KRUNCHY_AMERICANO_SOLO,2026-04-11,,12.9,web_kfc,https://www.kfc.com.pe/carta/sandwiches,12.9
KFC_KRUNCHY_AMERICANO_COMBO,CMP_KRUNCHY_AMERICANO_COMBO,2026-04-11,,18.9,web_kfc,https://www.kfc.com.pe/carta/sandwiches,18.9
KFC_KRUNCHY_BBQ_COMBO,CMP_KRUNCHY_BBQ_COMBO,2026-04-11,,17.9,web_kfc,https://www.kfc.com.pe/carta/sandwiches,17.9
KFC_KRUNCHY_BBQ_SOLO,CMP_KRUNCHY_BBQ_SOLO,2026-04-11,,11.9,web_kfc,https://www.kfc.com.pe/carta/sandwiches,11.9
KFC_KRUNCHY_MELTZ_COMBO,CMP_KRUNCHY_MELTZ_COMBO,2026-04-11,,16.9,web_kfc,https://www.kfc.com.pe/carta/sandwiches,16.9
KFC_KRUNCHY_MELTZ_COMBO,CMP_KRUNCHY_MELTZ_COMBO,2026-04-11,,22.9,web_kfc,https://www.kfc.com.pe/carta/sandwiches,22.9
KFC_KRUNCHY_MELTZ_SOLO,CMP_KRUNCHY_MELTZ_SOLO,2026-04-11,,10.9,web_kfc,https://www.kfc.com.pe/carta/sandwiches,10.9
KFC_NUGGETS,CMP_NUGGETS,2026-04-11,,2.82,web_kfc,https://www.kfc.com.pe/carta/complementos,16.9
KFC_HOT_WINGS,CMP_HOT_WINGS,2026-04-11,,2.98,web_kfc,https://www.kfc.com.pe/carta/complementos,17.9
KFC_TENDERS,CMP_TENDERS,2026-04-11,,5.65,web_kfc,https://www.kfc.com.pe/carta/complementos,33.9
KFC_POPCORN_CHICKEN,CMP_POPCORN_CHICKEN,2026-04-11,,15.9,web_kfc,https://www.kfc.com.pe/carta/complementos,15.9
KFC_PAPAS_SUPER_FAMILIAR,CMP_PAPAS_SUPER_FAMILIAR,2026-04-11,,15.9,web_kfc,https://www.kfc.com.pe/carta/complementos,15.9
KFC_PAPAS_FAMILIAR,CMP_PAPAS_FAMILIAR,2026-04-11,,11.9,web_kfc,https://www.kfc.com.pe/carta/complementos,11.9
KFC_PAPAS_PERSONAL,CMP_PAPAS_PERSONAL,2026-04-11,,6.9,web_kfc,https://www.kfc.com.pe/carta/complementos,6.9
KFC_ENSALADA_FAMILIAR,CMP_ENSALADA_FAMILIAR,2026-04-11,,11.0,web_kfc,https://www.kfc.com.pe/carta/complementos,11.0
KFC_ENSALADA_REGULAR,CMP_ENSALADA_REGULAR,2026-04-11,,5.9,web_kfc,https://www.kfc.com.pe/carta/complementos,5.9
KFC_PIEZA_POLLO,CMP_PIEZA_POLLO,2026-04-11,,15.9,web_kfc,https://www.kfc.com.pe/carta/complementos,15.9
KFC_PAPAS_FAMILIAR,CMP_PAPAS_FAMILIAR,2026-04-11,,11.0,web_kfc,https://www.kfc.com.pe/carta/complementos,11.0
KFC_POSTRE_TRES_LECHES,CMP_POSTRE_TRES_LECHES,2026-04-11,,6.9,web_kfc,https://www.kfc.com.pe/carta/postres,6.9
KFC_POSTRE_TORTA_TRUFADA,CMP_POSTRE_TORTA_TRUFADA,2026-04-11,,11.9,web_kfc,https://www.kfc.com.pe/carta/postres,11.9
KFC_POSTRE_PIE_MANZANA,CMP_POSTRE_PIE_MANZANA,2026-04-11,,6.9,web_kfc,https://www.kfc.com.pe/carta/postres,6.9
KFC_POSTRE_GALLETA_AVENA,CMP_POSTRE_GALLETA_AVENA,2026-04-11,,4.9,web_kfc,https://www.kfc.com.pe/carta/postres,4.9
KFC_POSTRE_PIE_DULCE_LECHE,CMP_POSTRE_PIE_DULCE_LECHE,2026-04-11,,6.9,web_kfc,https://www.kfc.com.pe/carta/postres,6.9
KFC_BEBIDA_INCA_KOLA_ZERO,CMP_BEBIDA_INCA_KOLA_ZERO,2026-04-11,,4.9,web_kfc,https://www.kfc.com.pe/carta/bebidas,4.9
KFC_BEBIDA_INCA_KOLA_ZERO_1L,CMP_BEBIDA_INCA_KOLA_ZERO_1L,2026-04-11,,7.0,web_kfc,https://www.kfc.com.pe/carta/bebidas,7.0
KFC_BEBIDA_INCA_KOLA_ZERO_1_5L,CMP_BEBIDA_INCA_KOLA_ZERO_1_5L,2026-04-11,,10.0,web_kfc,https://www.kfc.com.pe/carta/bebidas,10.0
