sku_master,sku_comparable,fecha_inicio,fecha_fin,precio_regular,fuente_precio,url_fuente,precio_base_fuente
POPEYES_ALITAS,CMP_ALITAS,2026-05-01,,2.73,web_popeyes,https://www.popeyes.com.pe/menu/tenders-alita-y-nuggets,10.9
POPEYES_TENDER,CMP_TENDER,2026-05-01,,4.63,web_popeyes,https://www.popeyes.com.pe/menu/tenders-alita-y-nuggets,13.9
POPEYES_NUGGETS,CMP_NUGGETS,2026-05-01,,2.73,web_popeyes,https://www.popeyes.com.pe/menu/tenders-alita-y-nuggets,10.9
POPEYES_CHICHARRON_XL,CMP_CHICHARRON_XL,2026-05-01,,21.9,web_popeyes,https://www.popeyes.com.pe/menu/tenders-alita-y-nuggets,21.9
POPEYES_PERSONAL_3_PIEZAS_COMBO,CMP_PERSONAL_3_PIEZAS_COMBO,2026-05-01,,26.9,web_popeyes,https://www.popeyes.com.pe/menu/pollo-frito,26.9
POPEYES_PERSONAL_2_PIEZAS_COMBO,CMP_PERSONAL_2_PIEZAS_COMBO,2026-05-01,,20.9,web_popeyes,https://www.popeyes.com.pe/menu/pollo-frito,20.9
POPEYES_PIEZA_POLLO,CMP_PIEZA_POLLO,2026-05-01,,7.45,web_popeyes,https://www.popeyes.com.pe/menu/pollo-frito,14.9
POPEYES_DUO_4_PIEZAS_COMBO,CMP_DUO_4_PIEZAS_COMBO,2026-05-01,,38.9,web_popeyes,https://www.popeyes.com.pe/menu/pollo-frito,38.9
POPEYES_FESTI_12_PIEZAS_COMBO,CMP_FESTI_12_PIEZAS_COMBO,2026-05-01,,78.9,web_popeyes,https://www.popeyes.com.pe/menu/pollo-frito,78.9
POPEYES_PROMO_FESTI_10_PIEZAS_SALSATON,CMP_PROMO_FESTI_10_PIEZAS_SALSATON,2026-05-01,,59.9,web_popeyes,https://www.popeyes.com.pe/menu/pollo-frito,59.9
POPEYES_PROMO_FESTI_6_PIEZAS,CMP_PROMO_FESTI_6_PIEZAS,2026-05-01,,39.9,web_popeyes,https://www.popeyes.com.pe/menu/pollo-frito,39.9
POPEYES_FESTI_8_PIEZAS_COMBO,CMP_FESTI_8_PIEZAS_COMBO,2026-05-01,,58.9,web_popeyes,https://www.popeyes.com.pe/menu/pollo-frito,58.9
POPEYES_FESTI_10_PIEZAS_COMBO,CMP_FESTI_10_PIEZAS_COMBO,2026-05-01,,68.9,web_popeyes,https://www.popeyes.com.pe/menu/pollo-frito,68.9
POPEYES_FESTI_6_PIEZAS_COMBO,CMP_FESTI_6_PIEZAS_COMBO,2026-05-01,,48.9,web_popeyes,https://www.popeyes.com.pe/menu/pollo-frito,48.9
POPEYES_SANDWICH,CMP_SANDWICH,2026-05-01,,20.9,web_popeyes,https://www.popeyes.com.pe/menu/sandwiches-y-tosty-rolls,20.9
POPEYES_TOSTY,CMP_TOSTY,2026-05-01,,19.9,web_popeyes,https://www.popeyes.com.pe/menu/sandwiches-y-tosty-rolls,19.9
POPEYES_CHICKEN_ROLL,CMP_CHICKEN_ROLL,2026-05-01,,23.9,web_popeyes,https://www.popeyes.com.pe/menu/sandwiches-y-tosty-rolls,23.9
POPEYES_PAPAS_CAJUN_REGULAR,CMP_PAPAS_CAJUN_REGULAR,2026-05-01,,6.9,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,6.9
POPEYES_PAPAS_CAJUN_GRANDE,CMP_PAPAS_CAJUN_GRANDE,2026-05-01,,8.9,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,8.9
POPEYES_PAPAS_CAJUN_FAMILIAR,CMP_PAPAS_CAJUN_FAMILIAR,2026-05-01,,12.9,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,12.9
POPEYES_PAPAS_CAJUN_SUPER_FAMILIAR,CMP_PAPAS_CAJUN_SUPER_FAMILIAR,2026-05-01,,16.9,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,16.9
POPEYES_ENSALADA_DE_COL_REGULAR,CMP_ENSALADA_DE_COL_REGULAR,2026-05-01,,6.9,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,6.9
POPEYES_ENSALADA_DE_COL_FAMILIAR,CMP_ENSALADA_DE_COL_FAMILIAR,2026-05-01,,11.9,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,11.9
POPEYES_VASOTE_SALSATON,CMP_VASOTE_SALSATON,2026-05-01,,9.9,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,9.9
POPEYES_SALSA_3_OZ,CMP_SALSA,2026-05-01,,3.0,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,3.0
POPEYES_COCA_COLA_500ML,CMP_COCA_COLA,2026-05-01,,4.5,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,4.5
POPEYES_COCA_COLA_S_AZUCAR_500ML,CMP_COCA_COLA,2026-05-01,,4.5,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,4.5
POPEYES_INCA_KOLA_500ML,CMP_INCA_KOLA,2026-05-01,,4.5,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,4.5
POPEYES_INCA_KOLA_S_AZUCAR_500ML,CMP_INCA_KOLA,2026-05-01,,4.5,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,4.5
POPEYES_COCA_COLA_1_5L,CMP_COCA_COLA_1_5L,2026-05-01,,10.0,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,10.0
POPEYES_COCA_COLA_S_AZUCAR_1_5L,CMP_COCA_COLA_1_5L,2026-05-01,,10.0,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,10.0
POPEYES_INCA_KOLA_1_5L,CMP_INCA_KOLA_1_5L,2026-05-01,,10.0,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,10.0
POPEYES_SAN_LUIS_CON_GAS_625ML,CMP_SAN_LUIS,2026-05-01,,4.9,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,4.9
POPEYES_SAN_LUIS_SIN_GAS_750ML,CMP_SAN_LUIS,2026-05-01,,4.9,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,4.9
POPEYES_PIE_DE_MANZANA,CMP_PIE_DE_MANZANA,2026-05-01,,6.9,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,6.9
POPEYES_PIE_DUO,CMP_PIE_DUO,2026-05-01,,10.0,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,10.0
POPEYES_REGALO_DE_CUMPLEANOS,CMP_REGALO_DE_CUMPLEANOS,2026-05-01,,5.0,web_popeyes,https://www.popeyes.com.pe/menu/piqueos-y-complementos,5.0
